area,city,district,houseType,microdistrict,name,price,rentType
"
        29㎡
        ",,,,,"
          整租·梧桐苑知秋园 1室0厅 南        ",380,
"
        60㎡
        ",,,,,"
          整租·西湖新村 1室1厅 南/北        ",3000,
"
        78㎡
        ",,,,,"
          整租·沸城 2室1厅 东北        ",4500,
"
        53㎡
        ",,,,,"
          整租·永兴里 2室1厅 南/北        ",2600,
"
        72㎡
        ",,,,,"
          整租·啤酒厂家属楼 2室1厅 南/北        ",2800,
"
        46㎡
        ",,,,,"
          整租·高家园二区 1室1厅 南        ",5200,
"
        52㎡
        ",,,,,"
          整租·农光东里 1室1厅 南        ",5500,
"
        52㎡
        ",,,,,"
          整租·东方财富 1室0厅 北        ",5300,
"
        51㎡
        ",,,,,"
          整租·恒大领寓 1室1厅 西        ",5000,
"
        61㎡
        ",,,,,"
          整租·凯盛家园 1室1厅 南        ",4000,
"
        41㎡
        ",,,,,"
          整租·城建宿舍 1室0厅 南        ",4000,
"
        87㎡
        ",,,,,"
          整租·中国铁建原香漫谷 2室1厅 南        ",2400,
"
        62㎡
        ",,,,,"
          整租·兴政西里 2室1厅 南/北        ",3500,
"
        57㎡
        ",,,,,"
          整租·金星小区 2室1厅 南/北        ",4300,
"
        40㎡
        ",,,,,"
          整租·幸福三村 1室1厅 南        ",5600,
"
        49㎡
        ",,,,,"
          整租·远见国际公寓 1室0厅 南        ",5200,
"
        60㎡
        ",,,,,"
          整租·绿雅阁 1室0厅 西南        ",6000,
"
        75㎡
        ",,,,,"
          整租·朝阳新城六区 2室1厅 南/北        ",5500,
"
        30㎡
        ",,,,,"
          整租·净土胡同 1室1厅 东/西        ",5800,
"
        47㎡
        ",,,,,"
          整租·华威西里 1室1厅 南        ",5500,
"
        37㎡
        ",,,,,"
          整租·双柳巷 1室1厅 南        ",4200,
"
        46㎡
        ",,,,,"
          整租·蔚园 1室1厅 南        ",3300,
"
        53㎡
        ",,,,,"
          整租·左安浦园 1室1厅 东        ",5500,
"
        78㎡
        ",,,,,"
          整租·晓月苑一里 2室1厅 东北        ",4000,
"
        86㎡
        ",,,,,"
          整租·隆盛园 2室1厅 南/北        ",2300,
"
        66㎡
        ",,,,,"
          整租·马坡花园一区 1室1厅 南/北        ",3000,
"
        67㎡
        ",,,,,"
          整租·米拉小镇 1室1厅 东南        ",3500,
"
        45㎡
        ",,,,,"
          整租·芍药居北里 1室1厅 东        ",6000,
"
        83㎡
        ",,,,,"
          整租·北苑家园绣菊园 2室1厅 东南        ",6000,
"
        41㎡
        ",,,,,"
          整租·和平里五区 1室1厅 东南        ",5500,
